4615.384615,3,”»’è(ƒWƒƒƒXƒg)‚ÌŽžŠÔ,,923.0769231
5076.923077,4,,,
6461.538462,7,,,
6923.076923,8,,,
7846.153846,10,,,
8769.230769,12,,,
9692.307692,14,,,
10615.38462,,,,
11538.46154,,,,
12461.53846,,,,
13384.61538,,,,
14307.69231,,,,
15230.76923,,,,
16153.84615,,,,
17076.92308,,,,
18000,,,,
18923.07692,,,,
19846.15385,,,,
20769.23077,,,,
21692.30769,,,,
22615.38462,,,,
23538.46154,,,,
24461.53846,,,,
25384.61539,,,,
26307.69231,,,,
27230.76923,,,,
28153.84615,,,,
29076.92308,,,,
30000,,,,
30923.07692,,,,
31846.15385,,,,
32769.23077,,,,
33692.30769,,,,
34615.38462,,,,
35538.46154,,,,
36461.53846,,,,
37384.61539,,,,
38307.69231,,,,
39230.76923,,,,
40153.84615,,,,
41076.92308,,,,
42000,,,,
42923.07692,,,,
43846.15385,,,,
44769.23077,,,,
45692.30769,,,,
46615.38462,,,,
47538.46154,,,,
48461.53846,,,,
49384.61539,,,,
50307.69231,,,,
51230.76923,,,,
52153.84615,,,,
53076.92308,,,,
54000,,,,
54923.07692,,,,
55846.15385,,,,
56769.23077,,,,
57692.30769,,,,
58615.38462,,,,
59538.46154,,,,
60461.53846,,,,
61384.61539,,,,
62307.69231,,,,
63230.76923,,,,
64153.84616,,,,
65076.92308,,,,
66000,,,,
66923.07692,,,,
67846.15385,,,,
68769.23077,,,,
69692.30769,,,,
70615.38462,,,,
71538.46154,,,,
72461.53846,,,,
73384.61539,,,,
74307.69231,,,,
75230.76923,,,,
76153.84616,,,,
77076.92308,,,,
78000,,,,
78923.07692,,,,
79846.15385,,,,
80769.23077,,,,
81692.30769,,,,
82615.38462,,,,
83538.46154,,,,
84461.53846,,,,
85384.61539,,,,
86307.69231,,,,
87230.76923,,,,
88153.84616,,,,
89076.92308,,,,
90000,,,,
90923.07693,,,,
91846.15385,,,,
92769.23077,,,,
93692.30769,,,,
94615.38462,,,,
95538.46154,,,,
96461.53846,,,,
97384.61539,,,,
98307.69231,,,,
99230.76923,,,,
100153.8462,,,,
101076.9231,,,,
102000,,,,
102923.0769,,,,
103846.1538,,,,
104769.2308,,,,
105692.3077,,,,
106615.3846,,,,
107538.4615,,,,
108461.5385,,,,
109384.6154,,,,
110307.6923,,,,
111230.7692,,,,
112153.8462,,,,
113076.9231,,,,
114000,,,,
114923.0769,,,,
115846.1538,,,,
